Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,5,นายพชรกร อรรณนพพร,122
KK10_CONST_โนนศิลา_โนนศิลา_M6_U2,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,1,นายวันนิวัติ สมบูรณ์,142
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,3,นายนิวัตร สระพรม,25
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,5,นายพชรกร อรรณนพพร,94
KK10_CONST_โนนศิลา_โนนศิลา_M1_U3,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,1,นายวันนิวัติ สมบูรณ์,49
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,3,นายนิวัตร สระพรม,12
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,5,นายพชรกร อรรณนพพร,107
KK10_CONST_โนนศิลา_โนนศิลา_M3_U3,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,1,นายวันนิวัติ สมบูรณ์,145
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,2,ร.ต.ท.สงวน คมขาว,4
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,3,นายนิวัตร สระพรม,59
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,4,นายวิระศักดิ์ สายทอง,4
