Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_เปือยน้อย_วังม่วง_M4_U4,เปือยน้อย,วังม่วง,4,4,15.8167,102.9083,677,473.0,680.0,473.0,448.0,25.0,0.0,207.0
KK10_เปือยน้อย_วังม่วง_M5_U5,เปือยน้อย,วังม่วง,5,5,15.8167,102.9083,355,202.0,202.0,202.0,194.0,8.0,0.0,138.0
KK10_เปือยน้อย_วังม่วง_M6_U6,เปือยน้อย,วังม่วง,6,6,15.8167,102.9083,552,324.0,540.0,324.0,304.0,15.0,5.0,216.0
KK10_เปือยน้อย_วังม่วง_M7_U7,เปือยน้อย,วังม่วง,7,7,15.8167,102.9083,1041,659.0,1040.0,659.0,611.0,48.0,0.0,381.0
KK10_เปือยน้อย_วังม่วง_M8_U8,เปือยน้อย,วังม่วง,8,8,15.8167,102.9083,506,308.0,500.0,308.0,286.0,17.0,5.0,192.0
KK10_เปือยน้อย_สระแก้ว_M1_U1,เปือยน้อย,สระแก้ว,1,1,15.8333,102.9583,524,315.0,500.0,315.0,299.0,14.0,2.0,185.0
KK10_เปือยน้อย_สระแก้ว_M2_U2,เปือยน้อย,สระแก้ว,2,2,15.8333,102.9583,530,348.0,520.0,348.0,325.0,22.0,1.0,172.0
KK10_เปือยน้อย_สระแก้ว_M3_U3,เปือยน้อย,สระแก้ว,3,3,15.8333,102.9583,243,143.0,240.0,143.0,133.0,9.0,1.0,97.0
KK10_เปือยน้อย_สระแก้ว_M5_U5,เปือยน้อย,สระแก้ว,5,5,15.8333,102.9583,315,198.0,300.0,198.0,182.0,12.0,4.0,102.0
KK10_เปือยน้อย_สระแก้ว_M6_U6,เปือยน้อย,สระแก้ว,6,6,15.8333,102.9583,331,187.0,320.0,187.0,177.0,9.0,1.0,133.0
KK10_เปือยน้อย_สระแก้ว_M7_U7,เปือยน้อย,สระแก้ว,7,7,15.8333,102.9583,744,553.0,770.0,553.0,512.0,33.0,8.0,217.0
